userName,score,content,at
Junaid Rajput,5,I like this game but in this game I opan many cratts but in vain I have no vip atem,2025-03-24 18:49:51
john vincent siapo,5,ok naman,2025-03-24 18:49:49
Dfk Venom,5,🔝,2025-03-24 18:49:27
Abdullah Yasir,5,This is wonder ful amazing game,2025-03-24 18:49:24
Sir Meliodas,5,I love pubg,2025-03-24 18:49:11
Rana Hamza zahid,5,nice game,2025-03-24 18:49:02
YASSIN1 YASSINOOP2,5,Very nice game,2025-03-24 18:48:54
Waseem Akram,5,I say to thanks to the creater of pubg mobile. this is not only a game this is part of over life,2025-03-24 18:48:49
Laziz,1,Cheaters Mobile,2025-03-24 18:48:45
Nomi Alam,5,osam,2025-03-24 18:48:32
PUBG MOBILE,5,memories 💫,2025-03-24 18:48:28
Muhammad Wajid,5,Great,2025-03-24 18:48:21
Awais khan Tanoli 92,4,Good game time pass,2025-03-24 18:48:06
Candy Gigi,5,good good plz give me glacier theem,2025-03-24 18:48:05
Rozan Karki,5,awesome game 🎮,2025-03-24 18:48:04
Juhar Khan,5,favorite game,2025-03-24 18:48:00
Sohail Butt,5,love it,2025-03-24 18:47:50
Zaddaf Atar,5,"I have nothing to say about pubgm, it's good to play unlike other online games. It's like freefire pubgm. 100%",2025-03-24 18:47:29
Syed Atlas abbas,5,best game,2025-03-24 18:47:15
Von JB M,5,this is awesome game and it's like realistic and so many players are good in playing this game,2025-03-24 18:46:41
ali Ali,5,World best game pubg,2025-03-24 18:46:36
wayne scott engelbrecht,5,love this game,2025-03-24 18:46:21
Mesias Manor,2,"Great game, but servers need to be upgraded.",2025-03-24 18:46:03
Dyudh Djdjdjdj,5,love pubgi,2025-03-24 18:45:51
jawad akhtar,5,very goog game,2025-03-24 18:45:38
Next Gaming,5,pubg is my favorite one,2025-03-24 18:45:33
Amman Lone,5,good game,2025-03-24 18:45:29
RGM 8187,5,I Love This Game.,2025-03-24 18:45:26
sandratengai nyikadzino,5,mind blowing😍,2025-03-24 18:45:20
emasango emaasango.elvis,5,nice game I love pubg,2025-03-24 18:45:02
Saif Kakakhel,5,nice,2025-03-24 18:44:54
Hussain Khan,5,best game ever 😁😎,2025-03-24 18:43:41
Julhea Medrano,5,best BR game ever.,2025-03-24 18:43:32
Abdisalam Abdullahi,5,The best game I have ever seen I my life,2025-03-24 18:43:31
Delbert Sudaria,5,awesome,2025-03-24 18:43:24
Victor Brother,5,Great 😃,2025-03-24 18:43:06
Siyoucef Radwan,5,لعبة رائعة جدا وجذابة ومثيرة,2025-03-24 18:42:59
Zakir Ullah,1,Nice app,2025-03-24 18:42:34
Nay Htet Soe,5,I like PUBG,2025-03-24 18:42:34
Nasreen Akhtar,5,lt is very much nice game,2025-03-24 18:42:33
Shayan The,5,I have experienced the best game ever in my life 😊,2025-03-24 18:42:24
Richard Jaye,3,now the only problem is is in the event areas where the directional fall does not work properly you can look the way you want to go and fall the opposite,2025-03-24 18:42:22
Hamza Khan,1,I'm sorry,2025-03-24 18:42:19
Md Sumaidi Saifuddin Mus'ad Sumardi,5,best game ever made by mankind,2025-03-24 18:41:44
Abdullah Bahgat,5,Wow,2025-03-24 18:41:37
Leo Bad gamer,5,i love it what not pro player bcs my phn problem 😂😂so literally wel play other playr,2025-03-24 18:41:34
Mr. Rupchand,5,"It’s most Realistic game forever, i love this game",2025-03-24 18:41:12
Mark lorence Quiros,5,2 years playing pubg,2025-03-24 18:41:11
Lashkal Mutheu,5,hit the download button before it expires,2025-03-24 18:39:54
Azyza Mohamed,5,this game is really nice 👍👍,2025-03-24 18:39:52
Najoewa Rossouw,5,Best game ever,2025-03-24 18:39:51
Tanveer Ahmad,5,Very Nice Game,2025-03-24 18:39:32
Joshua Royo,5,this game is so awesome I love it🥰,2025-03-24 18:39:27
Ammad Khan,5,so very goood game,2025-03-24 18:39:18
HBAsifiwe HB,4,enter ❤️,2025-03-24 18:39:07
Nasir Mohammadi,5,prefect,2025-03-24 18:38:57
shahid boy,5,very bad luck😔😢,2025-03-24 18:38:37
Ahmed Al,5,love you pubg,2025-03-24 18:38:31
tj bangash,3,ITS not like it was in 2017 or 2018,2025-03-24 18:38:08
Mhmed Nasser,5,لعبه جمده,2025-03-24 18:37:55
Shaheer Shah,5,This Game Deals With our emotion,2025-03-24 18:37:45
Samsung Mk1,5,Best Game in the world. Playing since 3 years but did not get bore.,2025-03-24 18:37:31
Nima Sherpa,5,omg wow,2025-03-24 18:37:09
henok mehari,5,like,2025-03-24 18:36:58
Ali Quban,5,👑,2025-03-24 18:36:20
Psycho Pubg,5,what a nice game it's imotion,2025-03-24 18:36:10
Muhammad Saif ud din,5,my hope,2025-03-24 18:35:59
Pubg Mobile,5,outstanding graphics very good game and I have ever play this game,2025-03-24 18:35:47
Live Cuber,5,this is a great enjoyable game,2025-03-24 18:35:23
anamul Huqk,5,hi guys nice pubg game all free time playing the game nice game you are try now this game,2025-03-24 18:34:58
crow,5,good 👍🏻,2025-03-24 18:34:53
M sohaib M sohaib jutt,5,great game I am playing 4year,2025-03-24 18:34:52
Alex Rafikul,1,Best Game,2025-03-24 18:34:31
Sadam Hussain,5,😊,2025-03-24 18:34:26
NSG Narain,5,Pubg mobile is every every hard and fantictac game and I play hardly,2025-03-24 18:34:23
Muhammad Zain,5,feeling better,2025-03-24 18:34:21
Tinash Laone,5,Awesome game,2025-03-24 18:34:13
Khurt RJ Salas,5,it's so good habibi,2025-03-24 18:34:12
htun thu,5,good,2025-03-24 18:33:57
Koena Edward,5,good quality graphics,2025-03-24 18:33:03
Karis Jackson,5,the best,2025-03-24 18:33:02
Mir Ali Ghulam,5,I would say that crate opening is pure scam to steal the money from people. Just lost more than 10000 UC and didn't got a single mythic skin or m416 and scarl Skin. This is definitely a scam scheme in my opinion at least.,2025-03-24 18:32:47
Aryobis24,5,I spent 7 years in this game I make more memories and new friends 🧡 thank you 😊 PUBG MOBILE,2025-03-24 18:32:47
Sanan Khan,5,I love this game,2025-03-24 18:32:42
Wilfred Bantigue,5,good,2025-03-24 18:32:34
Khuda Bux,5,I like pubg mobile,2025-03-24 18:32:30
Dellon Caravaio,5,Love the game❤️💯 can u please put in our country flag in the game 🙏 Guyana 🇬🇾,2025-03-24 18:32:28
Mister King,3,I love this,2025-03-24 18:32:09
Muhammad Usman,5,amazing game Play,2025-03-24 18:31:55
APDIRAHEEM SAED,5,ONE OF THE BEST GAME OF ALL TIME PUBG🤩🥳,2025-03-24 18:31:47
abel masuka,5,super,2025-03-24 18:31:34
Syed Ghous ali shah,5,pubg mobile is one of the best game in the world I like,2025-03-24 18:31:22
Khent Uldarico Teopez,5,amazing game,2025-03-24 18:30:59
Rizwan Zahoor,1,Reached rank Ace still have too many bots. It's getting very boring. no players to compete maybe it's too old now.,2025-03-24 18:30:57
Dark OP,5,pubg is my life,2025-03-24 18:30:38
Adeel Bekind,5,very nice game,2025-03-24 18:30:37
Memes69,5,👍,2025-03-24 18:30:00
Nikhil Danu,4,it's good,2025-03-24 18:29:18
Emad Ebrahim,5,ok,2025-03-24 18:28:39
sesh bikel,5,This game is an emotion,2025-03-24 18:28:17
Gull Muhammad Sahito,5,excellent,2025-03-24 18:28:03
Akmal Khan,5,one of my best experience 5 years lam playing this game,2025-03-24 18:27:29
يوسف عمر,5,very nice 👍,2025-03-24 18:27:18
Jasmine Porcadilla,5,I super love it this game,2025-03-24 18:27:12
Kashan Ali,5,good GAME,2025-03-24 18:27:04
Shahshen kharik,5,shenshah kharik,2025-03-24 18:26:39
Jhomarie Lungan,5,yes na yes good,2025-03-24 18:25:52
Latrelle Clarke,5,"great 👍 game , I play 2-3 hours a day on stop",2025-03-24 18:25:27
Rifat Hasan,5,it's a amazing games,2025-03-24 18:25:01
M Zain,5,this game is my life,2025-03-24 18:24:55
DUCKIEE CALIDGUID,5,I love the game so much but don't be rude give me skins brooo😭😭,2025-03-24 18:24:53
zulqarnain Abro,1,I have been playing pubg for the past 6 years and this never happens to me but now It stuck on the first page on the loading page and showing a line down saying updating download list and it never ends and one more thing when I was playing some days ago game becomes lagy choppy and unplayable my phone even have 16 GB ram and a g92max,2025-03-24 18:24:43
Teanika Tekinene,5,yes really like it,2025-03-24 18:23:56
foyez islam,5,my account not lucky,2025-03-24 18:23:47
Fahad king123,4,nice 👍🏼 PUBG mobile good,2025-03-24 18:23:43
Renzjustine Cayde,5,sobrang Ganda guys,2025-03-24 18:23:26
griever noctis,5,"We got on here as a clan from our discord and I got a say I love the game, I don't have any real complaints besides all the tightly whitees lol",2025-03-24 18:23:26
Kamil,5,good game 🎯,2025-03-24 18:23:20
Azhan Khan,5,i love this game,2025-03-24 18:23:13
International Hearthacker,5,love it,2025-03-24 18:22:54
Azizullah Azizi,5,ok,2025-03-24 18:22:31
Aleem Ullah,4,Best action game,2025-03-24 18:22:20
Yazan Al Mughrabi,5,adrenaline,2025-03-24 18:22:12
A Ali,5,plus point is I am playing pubg mobile for last few months overall this is an amazing game ever I played.and the minus point is I faced some problems like low graphics or some character glitches etc.hope the guys resolve it.,2025-03-24 18:22:08
Midel Acosta,5,I love this game I played too much seens 2024/5 and I stop playing this because I can handle my studies and I played again in 2025/3,2025-03-24 18:22:07
Hessam pangandamun,5,very satisfied,2025-03-24 18:21:56
بب بب,5,جيد,2025-03-24 18:21:53
Roshan Jayshwal,5,this game is not a game is this real life battle ground 💖💖💖☠️☠️💀💀☠️,2025-03-24 18:21:50
Ak Abdullah,5,Very very Nice Game,2025-03-24 18:21:49
Adeb Smaan,5,The best,2025-03-24 18:21:48
Satriazi Anggayuda,5,mantap,2025-03-24 18:21:19
Saeed Lolo,5,love ❤️,2025-03-24 18:21:06
Good Life,5,love it,2025-03-24 18:21:03
Robert Mate,5,good game i enjoying it,2025-03-24 18:20:54
Ogenrwot Jonathan,5,very interesting,2025-03-24 18:20:36
محمدحسن دهواری,5,best game,2025-03-24 18:20:33
EL Jaguar Drummer,4,"The game is nice , but go easy on the mpcs",2025-03-24 18:20:22
Wahaj Uddin,5,Bhtreen,2025-03-24 18:20:11
Maciej Wojcik,5,Great Game. Lots of fan,2025-03-24 18:20:07
shazeljoy ventura,5,its fun,2025-03-24 18:19:50
Wahaj ahmed,5,I truly say this is not game it an emotion and this emotion i love very much love you pubg mobile,2025-03-24 18:19:34
Sakhawat Shah,5,Good game,2025-03-24 18:19:26
Hassan Ahmed,5,its a very good game I like it,2025-03-24 18:19:11
Emmanuelle Castro,5,Awesome game thanks pubg mobile,2025-03-24 18:19:10
Tandeo Pule,4,Everything is interesting....wow,2025-03-24 18:19:08
Ajith Ajith,5,best game 🎯😎,2025-03-24 18:19:04
Rawan Numoor,5,اسطورية/10/10❤️❤️,2025-03-24 18:19:02
John Walker,5,best game I ever played,2025-03-24 18:18:37
Mrs Salma,5,wooooooooooooow game i like it,2025-03-24 18:18:35
Mohamad Karsaz,5,The best game I have ever played but if you have good device you will enjoy more.,2025-03-24 18:18:30
Anthonio King,5,"PUBG with friends? It's pure, chaotic fun. Forget the solo grind. This game thrives on teamwork. Coordinating drops, strategizing pushes, reviving each other in the nick of time – it creates those unforgettable, laugh-till-you-cry moments. It's more than just a game; it's a social experience. It's bonding over close calls, hilarious fails, and those epic chicken dinners. It's a way to stay connected, to blow off steam, and to create memories.",2025-03-24 18:18:20
ROMEO yt,5,l love it,2025-03-24 18:18:08
M Yousaf,4,Excellent 👌,2025-03-24 18:18:03
Joffert Cabatuan,5,very nice game but idont have enough money to top-up,2025-03-24 18:17:49
Usama Bhatti,3,amazing,2025-03-24 18:17:43
RENDEL IROSH,5,better game ever,2025-03-24 18:17:26
Raza Abbas,2,yes I like this game but he did not give me m416 Glacier in crates,2025-03-24 18:17:22
Lila Bdr Shrestha,5,nice,2025-03-24 18:17:01
Kyaw Gyi,4,Finally I got m416 Glacier,2025-03-24 18:16:36
Waqar Hanif,5,super se b uper,2025-03-24 18:16:34
Ayuub Gamer,5,I Love Pubg Mobile ❤️💯,2025-03-24 18:16:23
Jhonny Suganat,5,Sooo Better than Codm trash,2025-03-24 18:16:03
Clive,5,very good game,2025-03-24 18:15:51
Ahmad Tasal,5,This is a good game,2025-03-24 18:15:40
Dowletjan001,5,This game is very perfect,2025-03-24 18:15:39
HANNIA PANGCOGA,5,the game is so insane and amazing,2025-03-24 18:15:32
Sam Eer,5,Best game I've ever playes,2025-03-24 18:15:31
rashid mubin,5,its not a game it is a emotion🖤,2025-03-24 18:15:27
aliyaser haidari,5,is very good game,2025-03-24 18:15:22
Imtiaz Ali,5,best game and Graphic are insane but one thing I am very disappointed with crate it's very difficult to collect coupon and when I open crate there is nothing and that time I am very sad and my heart goes to out off the game,2025-03-24 18:15:05
king khan,5,very good game,2025-03-24 18:14:23
Elsiddig Abd Alkaber,1,امارس اللعبة منذ 6 سنين والي الان لم احصل علي ام فور ثلجي,2025-03-24 18:14:23
Moino Panezai,5,Very emotional game,2025-03-24 18:13:59
Samuel Okechinyere,5,it has been a wonderful experience here players should try to communicate effectively thank you,2025-03-24 18:13:46
Mohammed Owinat,5,افضل لعبه في التاريخ,2025-03-24 18:13:31
Hamza Seid,4,nice but uc expence,2025-03-24 18:13:23
Iqbal Sagar,5,good,2025-03-24 18:13:05
Sorry Yar,5,i love this game i play this game 7 years,2025-03-24 18:12:58
Mark Kruger,5,it's ok it's not like how it used to be,2025-03-24 18:12:58
aZiZULLAH kHaN,5,really beautful game,2025-03-24 18:12:58
Ahmed Mustafa,5,PUBG MOBILE BEST GAME IN THE world 🌎,2025-03-24 18:12:43
shamima akter,5,This is my favorite game,2025-03-24 18:12:40
Bantawa Rai Abishkar,5,best game ever,2025-03-24 18:12:33
Afnan Iqbal,4,my fav game,2025-03-24 18:12:15
Sunny Malik,5,nice game play,2025-03-24 18:12:07
Zahid Veer,5,nice game,2025-03-24 18:12:03
De Shep,5,"excellent gaming, the best out there; you can play for free, even, and, get all the goods, might take a little longer, is all, but, becoming good, levels you up quick. It's shopping and killing and socializing, all in one superior game, PUBG!",2025-03-24 18:11:58
Toe Htet,5,The Best shooting game in the world It really,2025-03-24 18:11:38
sandro varshanidze,5,beat game ever,2025-03-24 18:11:28
Walid Sarker,5,i want dowlod but my brother cant download it,2025-03-24 18:11:20
Alyashier Asjali,5,this is game is fire,2025-03-24 18:11:18
Tausif Ali,5,I like please give me M4 glassier,2025-03-24 18:11:15
Daniel Olveria,5,PUBG is the best mobile game in the world,2025-03-24 18:11:10
Thomas Shelby,5,best game,2025-03-24 18:10:38
Manish Silwal,5,Very good in quality of game.,2025-03-24 18:10:31
Nasrullah Ibupoto,5,very nice game best game pubg test game of the world 🌍🌍🌍,2025-03-24 18:10:25
Stanton Olivier,5,it take me a long time to be what I'm now but I'm a good pubg player 😎,2025-03-24 18:10:19
Ahad Shah,5,amazing,2025-03-24 18:10:07
NasarAhmad ARMAN,5,very good,2025-03-24 18:10:07
ABDUL RAHMAN RAMADAN,5,very good,2025-03-24 18:09:55
Khakan,5,too much lagging.. can't play normally.,2025-03-24 18:09:52
Bishan Rai,5,best game ever 👍👑,2025-03-24 18:09:51
Muuse Cabdi,5,I'm very like a pubg mobile,2025-03-24 18:09:48
Nourji Ms,5,its a very positive experience,2025-03-24 18:09:36
Abdu Ràsheed Kassim,5,Great game to play for all ages,2025-03-24 18:09:31
Kon hai,5,good Game I love him 😻,2025-03-24 18:09:13
Asharab Ali,1,nice,2025-03-24 18:08:51
Mian Ali hassan,5,I love this game,2025-03-24 18:08:14
Nairde Aneced,5,need a new settings UPDATE for TPP VIEW ADJUSTMENT for mobile phone users,2025-03-24 18:08:10
Sbusiso Mtshali,5,Best Game ever,2025-03-24 18:07:45
Sangay Wangchuk,5,amazing game,2025-03-24 18:07:44
usama amjed,5,best game in the would but play only heavy mobile best gaming play,2025-03-24 18:07:32
Krishna Harris,5,A great game,2025-03-24 18:07:27
Ayup Hey,5,nice sir,2025-03-24 18:07:18
Rolyn Grate,5,paganda Ng paganda lalo na Yung optimize na Yung FPS SA low end device,2025-03-24 18:07:10
yosenphai,3,Bro stop the themed map sheet you aint fortnite. Its reducing the players each map bro.,2025-03-24 18:06:54
Abdo Shahen,5,❤️❤️❤️,2025-03-24 18:06:41
Goku Playz,5,op,2025-03-24 18:06:38
Shayan Dorani,5,nice,2025-03-24 18:06:17
Ali Hassan Malik,2,laj issues,2025-03-24 18:05:34
BadShah Gaming Tech,5,Awesome,2025-03-24 18:05:20
Pa Kl,5,the best game ever 😁,2025-03-24 18:05:10
Felix Mararo,5,good game ever,2025-03-24 18:04:55
Nirajan Mahato,5,wow but i dont like all the events i like non events the real one as before,2025-03-24 18:04:37
Ahmad Maliq,5,mantappp pubgg mobile .....,2025-03-24 18:04:27
Yasir Khan,5,I like pubg game In pubg game like real life.when I play free fire game no any I take enjoyment but when I play Pubg game i will enjoy.Free fire is cartoon game😂😂,2025-03-24 18:04:24
Tayyab Rehman,5,Good Game,2025-03-24 18:04:20
Lala Samar,5,I'm like is pubg mobile,2025-03-24 18:04:07
Nqobile Phakathi,5,best game I have played,2025-03-24 18:04:06
Meika Olivia,5,this PUBG mobile make me every day so happy bcs so many people play & I also can make new freind in this game 🕊️ love PUBG mobile but next event don't same like this season no good 👍 thanks,2025-03-24 18:03:56
Muazzam Ali,5,Best game ever❤❤❤,2025-03-24 18:03:49
Arfat Kamboh,5,best game ever,2025-03-24 18:03:43
Muhammad F,5,this is a 3d animation game,2025-03-24 18:03:32
Sibusiso blessing,5,very good,2025-03-24 18:03:24
Azam Dahri,5,i like a pubg,2025-03-24 18:02:14
April Racho,5,nice,2025-03-24 18:02:05
Oluwadamilola,4,sweet,2025-03-24 18:01:24
Irfan rajpoot,5,amazing and outstanding game and connect the beautiful people ❤️,2025-03-24 18:01:16
Kele Komape,5,the new season release is hectic... no glitches also,2025-03-24 18:01:09
arbaz khan,5,it is very good game ever,2025-03-24 18:01:08
Ishara Kaushalya,5,Requirements must be low for mobile users.,2025-03-24 18:00:22
Amithangani Upamali,5,nice,2025-03-24 18:00:13
Vann Alfred Nalam,5,amazing game,2025-03-24 18:00:11
حمزة كامل,5,جميله جدا,2025-03-24 18:00:09
Aliahmad Sultani,5,best game that I ever play,2025-03-24 18:00:02
Herbert Lerio,4,lag sometimes,2025-03-24 18:00:01
Sajjad Ali Arain,5,awesome 👍,2025-03-24 17:59:54
Saddam Butt,5,the best game ever 😎,2025-03-24 17:59:44
Muhammad Adil,5,excellent game,2025-03-24 17:59:43
Shehzad Ali,5,i love it what a wow :),2025-03-24 17:59:42
Benjie Rovillos,5,amazing,2025-03-24 17:59:38
Arya Hawzhen,5,best game ever !!!!,2025-03-24 17:59:31
Jenelyn Catayoc,5,very nice gaming,2025-03-24 17:59:22
Ali Hamza,5,50uc free inam all player,2025-03-24 17:59:12
Aamir Hussain Saho,1,i love this game more than everything,2025-03-24 17:58:33
Farhan Mughal,5,best game in world😍😍😍😍😍,2025-03-24 17:58:30
Gn Smooth,5,It's a best game,2025-03-24 17:58:21
I Care,5,very nice gane,2025-03-24 17:57:50
Adriano Mauers,5,have been playing for 5 years and pubg still remains the best mobile shooting game even though I play on a 30fps phone it's still entertaining😌,2025-03-24 17:57:27
Hamna Ahmed,5,my favorite game I like it so much,2025-03-24 17:57:18
Adam Mikhael,5,best game not like funny game freefire lol,2025-03-24 17:56:55
Muhdqaidhazman Muhdq4id,5,Mntappp,2025-03-24 17:56:53
Zhyrone Ortaleza,1,ina update ng update wala na kaming storage pano naman yung mga low and device,2025-03-24 17:56:31
ALI Rehman,5,good game,2025-03-24 17:56:30
GDX KING YT,1,Wasted 6 Year's. Now want to sale account.,2025-03-24 17:56:27
ADNAN AHMED,5,THIS IS REAM BATTLE GAME,2025-03-24 17:56:26
Spyro Abaldonado,5,Awesome Game,2025-03-24 17:56:24
Zai Mwan Harn Hangtaamaa,5,I like this game and play everyday,2025-03-24 17:56:19
Sharier Amin,2,There are no collaboration with Cristiano Ronaldo,2025-03-24 17:56:15
Shafin Ahmed,5,very interesting,2025-03-24 17:56:12
funnydog Pakistani,5,please dear pubg team give glacier level 4,2025-03-24 17:55:55
Sakhawat Ali,5,I love this game,2025-03-24 17:55:48
Danial Akhtar,5,good game,2025-03-24 17:55:33
Eric Moldon,5,Very nice game,2025-03-24 17:55:21
Ntuthuko Ndlovu,5,"The game is great, best game i can play online and doesn't use much data",2025-03-24 17:55:19
Titin seng,5,Good for me,2025-03-24 17:55:10
Rajesh Kumar,5,best game in the world,2025-03-24 17:55:06
M Hasnat,5,love this my favorite game,2025-03-24 17:55:02
sandeep singh,5,#1 in action game,2025-03-24 17:54:57
Zahid Khan,5,💕🥰,2025-03-24 17:54:46
Ad Balushi,4,Best,2025-03-24 17:54:45
Mariem Abbas,5,احلي للعبه علي الطلاق ❤️❤️❤️❤️❤️❤️🥀🫶🏼,2025-03-24 17:54:13
Abdul Palmer,1,I spent so much money on the yet I got no upgradables,2025-03-24 17:53:59
adnan abbasi,5,this is very good game and king 👑 of all games😊,2025-03-24 17:53:57
Mian Zaini,5,I love it,2025-03-24 17:53:53
Samwel Michuki,1,good app...but nowadays lobbies are full of bots not many real players,2025-03-24 17:53:41
Fatima Kamran,5,"Just amazing. The events, graphics, UI, UX everything is too much realistic and just addicted",2025-03-24 17:53:40
majid,5,pubg father of free fire,2025-03-24 17:53:37
Arif Afridi,3,such a great game,2025-03-24 17:53:19
Saad Sadaq,5,It's one of the best best game in the world.....,2025-03-24 17:53:12
JOSEPH GEONANGA,5,the best game ever,2025-03-24 17:53:10
Abdul Schroeder,5,"I've been playing this game for over 4 years now and I've genuinely grown a lot as a player myself. I'm loving the new event and all the new features that the game has added as well, so that's a huge shout-out to the Devs honestly! but tbh tho could you help a brother out to get the M416 glacier coz I mean it's been 4 years of no luck TT. keep up the good work❤️",2025-03-24 17:52:59
Bi Bas,5,Uc teraa baap deyga👀,2025-03-24 17:52:57
Bad Boy,5,I like pubg😘😍,2025-03-24 17:52:47
Shako Shako,5,thank you,2025-03-24 17:52:43
Hamza khan,4,so nice game,2025-03-24 17:52:03
AHMED,5,"Best game,this is only thing that gives my happiness",2025-03-24 17:51:41
ZABARIAH md bakri,5,Im feel in love with pubg mobile... 😍😍😍,2025-03-24 17:51:29
Sneaky Ninja,5,very good game very fun,2025-03-24 17:51:26
Atif Khan,5,love,2025-03-24 17:50:38
Ammir Shah,5,my favorite game PUBG mobile 🥰💝,2025-03-24 17:49:59
Saikhanwar Mdy,5,My favorite,2025-03-24 17:49:57
Malik Muhammad Zohaib Awan,5,just brilliant👍 no words to describe,2025-03-24 17:49:17
Muhammad Umar,5,good,2025-03-24 17:49:12
Shahzaib Baloch,5,thanks pubg mobile is really good game,2025-03-24 17:48:58
mali Mirani,5,best game,2025-03-24 17:48:54
Bashir Amiry,5,lovely game,2025-03-24 17:48:54
Brew Onacis,5,Awesome 👍😎,2025-03-24 17:48:49
Jay-ar Mercado,5,nice 👍,2025-03-24 17:48:13
Husnain Khan,5,Back new suit and gun skin. This game is good but this game give us mently stress. So this game not be play the child. This game is not good for child.,2025-03-24 17:47:48
Mohammed Monis,5,best game,2025-03-24 17:47:46
Naser 1,5,love,2025-03-24 17:47:38
qamar jamal,5,good,2025-03-24 17:47:37
AIZAZ Khan,5,best game of all time,2025-03-24 17:47:28
Ibrahim Ampuan,4,NC game,2025-03-24 17:47:00
Tasir Ali,5,love,2025-03-24 17:46:54
Syron Perez,5,Nice,2025-03-24 17:46:47
Mikiyas Weday,5,I spend my entire day playing this game. I love it so much.,2025-03-24 17:46:39
Ilyas Malik,5,my love,2025-03-24 17:45:51
Pubg Player Pubg Player,5,so good but can you give me m4 ice pls,2025-03-24 17:45:19
Umaima Irfan,5,"I like this game very very much.Graphics, physics and all the updates and events in this game.But the main problem is for low end devices players and PUBG mobile lovers. I also love this game but i have a 3gb ram device which cannot run PUBG mobile properly But i love this game so i am giving PUBG mobile 5stars and their is no reason to give it less than 5 stars. PUBG mobile is really a fantastic game.",2025-03-24 17:45:02
Eman Ali,5,this game is wonderful and best game❤️❤️,2025-03-24 17:44:44
Amogelang Thutlwa,5,exceptional,2025-03-24 17:44:38
LB Rasool,5,really amazing as well as interesting,2025-03-24 17:44:27
Bilguun Beb,5,it's fun and no cheaters in my game,2025-03-24 17:44:13
nununk 93,5,cool,2025-03-24 17:43:51
Umar Razzaq,5,sooooooooper game,2025-03-24 17:43:47
Flex Rilex,5,top game for mobile try it ❤️❤️,2025-03-24 17:43:12
Eric Albert,5,nice,2025-03-24 17:42:55
Kevin Chilumo,5,I like PUBG mobile for all games,2025-03-24 17:42:54
Rehan Ansari,5,just piece of art😘😍,2025-03-24 17:42:47
Rangirua Ataela,5,loved it,2025-03-24 17:42:38
Khalil Khan,5,One of the best game I like it,2025-03-24 17:42:17
Mathew Ayman,5,I love you so much,2025-03-24 17:42:01
Muhammed Sehran,5,I love pub g,2025-03-24 17:41:58
محمد احمد,5,حلوه,2025-03-24 17:41:56
Kim Urmeneta,5,"I just want to express my gratitude to PUBG Mobile for creating such an incredible and immersive gaming experience. The gameplay is so engaging, and I'm constantly amazed by the updates and new content. Thank you for the endless entertainment",2025-03-24 17:41:46
Fatima Ahmed,4,حلوه بس الحظ,2025-03-24 17:41:11
Muhammad Daiyan,5,"Very good game, i love it so much",2025-03-24 17:40:59
Ko Moe Htet,5,i like pubg game,2025-03-24 17:40:41
zzaw zaw,5,Good,2025-03-24 17:40:34
Sepeher Moradkhani,5,very good,2025-03-24 17:40:16
Muhammad Hidayat ullah khan,4,beautiful game but I have so much lag on my low end device.Please any way to play PUBG mobile on low end device smoothly without any lag.,2025-03-24 17:40:01
Samyar,5,best,2025-03-24 17:40:00
Arslan Alla uddin,5,Exllant,2025-03-24 17:39:58
Mongezi,5,Still the best mobile game,2025-03-24 17:39:57
amin Sahil,5,too like 👍,2025-03-24 17:39:36
Dil Lagi,5,Nice,2025-03-24 17:39:24
Jelay0.4,5,good,2025-03-24 17:39:21
tasnin Niger,5,pp game,2025-03-24 17:39:20
Mahmud Alam,5,waw,2025-03-24 17:39:19
Maviaaa Khan1234,4,nice game,2025-03-24 17:39:15
iraj khalili,5,Cannot connect please check your pubgi mobile game tanks for reading 🙏🏻❤️,2025-03-24 17:38:58
Hossam Nageeb,5,The Best,2025-03-24 17:38:41
Muhd Aiman,5,need some improvement on frame but overall the best game ever,2025-03-24 17:38:40
darwisy1027Q,5,SO FIREE BUT I WANT TO BE PRO SO 😊,2025-03-24 17:38:10
ray rere,5,NCice game PUBG ever,2025-03-24 17:37:49
Sohail Asghar,2,feed Up with update in 60 days,2025-03-24 17:37:33
Alam Khan,5,I play thas game in 4 year ago it's really nice good and interested. you play thas game for free with your online friends,2025-03-24 17:37:30
Hamza Rao,5,improved,2025-03-24 17:37:27
Tayyab Kazmi,5,good game,2025-03-24 17:37:22
miel chuy,5,awesome boss kupal let's go enemy's a head excellent work??,2025-03-24 17:37:22
Xamzow Jr,5,it's the best game in the world I would rate it five stars for the game the best ever online game in the world it has a lot of memory's love you pubg,2025-03-24 17:37:09
Mohsin Raza,5,excellent,2025-03-24 17:36:59
Muhammad Sabir,5,Hi my pub g mobile team yr game is very interested please gave me glacier,2025-03-24 17:36:46
Sok Chanvina,5,Good game,2025-03-24 17:36:21
S Khan,5,This game good game for all playstore this is a real game this is my favorite game free fire is so losse game,2025-03-24 17:35:59
Mumtaz Abbasi,5,bahut acchi game,2025-03-24 17:35:25
Zaheer Khan,5,happy,2025-03-24 17:34:55
"m,hussinjamali m.hussin",5,it's a fantastic games for online,2025-03-24 17:34:39
Zain Ali Sajid,5,too much,2025-03-24 17:34:21
Mohsin Rao,5,i am very happy to play pubg game,2025-03-24 17:33:55
Hafsa Abbasi,5,THE ONE AND ONLY GAME I LIKE,2025-03-24 17:33:47
